Brand,Bike_Name,CC,Mileage,Power,Weight,Price,Rating
bajaj,Bajaj CT 110,115.45 cc,70 kmpl,8.48 bhp,127 kg,"₹ 74,847",4.4
bajaj,Bajaj Pulsar 180,178.61 cc,44 kmpl,16.76 bhp,156 kg,"₹ 1,22,925",4.4
bajaj,Bajaj Avenger Cruise 220,220 cc,39 kmpl,18.76 bhp,163 kg,"₹ 1,34,155",4.4
bajaj,Bajaj Chetak C25,,55 kmph,,108 kg,"₹ 1,04,599",4.5
bajaj,Bajaj Avenger Street 220,220 cc,,18.76 bhp,160 kg,"₹ 1,34,101",4.1
bajaj,Bajaj Adventure,,,,,,
bajaj,Bajaj Electric Motorcycle,,,,,,
royalenfield,Royal Enfield Hunter 350,349.34 cc,35 kmpl,20.2 bhp,181 kg,"₹ 1,37,640",4.7
royalenfield,Royal Enfield Classic 350,349 cc,34 kmpl,20.2 bhp,195 kg,"₹ 1,87,434",4.6
royalenfield,Royal Enfield Bullet 350,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,65,656",4.7
royalenfield,Royal Enfield Himalayan 440,443 cc,32 kmpl,25.4 bhp,199 kg,"₹ 2,29,000",4.6
royalenfield,Royal Enfield Continental GT 650,648 cc,23 kmpl,47 bhp,211 kg,"₹ 3,58,427",4.7
royalenfield,Royal Enfield Meteor 350,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,99,447",4.6
royalenfield,Royal Enfield Guerrilla 450,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,51,063",4.7
royalenfield,Royal Enfield Himalayan 450,451.65 cc,30 kmpl,39.47 bhp,196 kg,"₹ 3,08,029",4.7
royalenfield,Royal Enfield Super Meteor 650,648 cc,25 kmpl,46.3 bhp,241 kg,"₹ 4,05,988",4.8
royalenfield,Royal Enfield Shotgun 650,648 cc,23 kmpl,46.39 bhp,240 kg,"₹ 4,01,002",4.8
royalenfield,Royal Enfield Interceptor 650,648 cc,24 kmpl,47 bhp,218 kg,"₹ 3,37,909",4.6
royalenfield,Royal Enfield Scram 440,443 cc,30 kmpl,25.4 bhp,196 kg,"₹ 2,24,373",4.4
royalenfield,Royal Enfield Goan Classic 350,349 cc,34 kmpl,20.2 bhp,197 kg,"₹ 2,25,311",4.8
royalenfield,Royal Enfield Classic 650,647.95 cc,26.5 kmpl,46.39 bhp,243 kg,"₹ 3,67,592",4.7
royalenfield,Royal Enfield Bullet 650,647.95 cc,,46.39 bhp,243 kg,"₹ 3,64,856",4.3
royalenfield,Royal Enfield Flying Flea C6,,115 kmph,15.4 kW,124 kg,"₹ 2,79,000",3.4
